,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cod.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
Precios finales con IVA incluído. Suejta a modificaciones y a disponibilidad de stock.,,,,Fecha de actualización:,,,7/1/2024
,"100,100 • Legumbres y Otros",,,,,,
,,,,,,,
314,Semilla de Zapallo 25 kg,,25 kg,22%,U$S,7.93,198.25
B314,Semilla de Zapallo 5 kg,,5 kg,22%,U$S,8.33,41.65
K314,Semilla de Zapallo 1 kg,7730905132355,12 unid.,22%,U$S,8.72,104.64
K3140,Semilla de Zapallo Tostadas1 kg,,12 unid.,22%,U$S,11.40,136.80
K3141,Semilla de Zapallo Tostadas con Sal 1 kg,,12 unid.,22%,U$S,11.40,136.80
287,Lino Marrón 25 kg,,25 kg,EXE,U$S,1.95,48.75
B287,Lino Marrón 5 kg,,5 kg,EXE,U$S,2.25,11.25
K287,Lino Marrón 1 kg,7730905132379,12 unid.,EXE,U$S,2.34,28.08
313,Semilla de Chía 25 kg,,25 kg,EXE,U$S,4.50,112.50
K313,Semilla de Chía 1 kg,7730905131976,12 unid.,EXE,U$S,5.40,64.80
312,Semilla de Quinoa Blanca 25 kg,,25 kg,EXE,U$S,3.90,97.50
K312,Semilla de Quinoa Blanca 1 kg,,12 unid.,EXE,U$S,4.68,56.16
3121,Semilla de Quinoa Roja 25 kg,,25 kg,EXE,U$S,4.10,102.50
K3121,Semilla de Quinoa Roja 1 kg,,12 unid.,EXE,U$S,4.92,59.04
3122,Semilla de Quinoa Negra 25 kg,,25 kg,EXE,U$S,4.15,103.75
K3122,Semilla de Quinoa Negra 1 kg,,12 unid.,EXE,U$S,5.00,60.00
310,Semilla de Quinoa Dorada 25 kg,,25 kg,EXE,U$S,2.21,55.25
K310,Semilla de Quinoa Dorada 1 kg,,12 unid.,EXE,U$S,2.40,28.80
3130,Amaranto 25 kg,,25 kg,EXE,U$S,3.05,76.25
K3130,Amaranto 1 kg,,12 unid.,EXE,U$S,3.66,43.92
299,Sésamo Blanco 25 kg,,25 kg,22%,U$S,4.40,110.00
B299,Sésamo Blanco 5 kg,,5 kg,22%,U$S,5.06,25.30
K299,Sésamo Blanco 1 kg,7730905132409,12 unid.,22%,U$S,5.31,63.72
298,Sésamo Natural 25 kg,,25 kg,EXE,U$S,3.05,76.25
B298,Sésamo Natural 5 kg,,5 kg,EXE,U$S,3.51,17.55
K298,Sésamo Natural 1 kg,7730905132416,12 unid.,EXE,U$S,3.66,43.92
300,Sésamo Negro 25 kg,,25 kg,EXE,U$S,4.20,105.00
B300,Sésamo Negro 5 kg,,5 kg,EXE,U$S,4.83,24.15
K300,Sésamo Negro 1 kg,7730905132447,12 unid.,EXE,U$S,5.10,61.20
302,Tahini 453g (Pásta de Sésamo),851168001039,12 unid.,22%,U$S,6.59,79.08
,"100,102 • Especias",,,,,,
B189,Adobo 5 kg,,5 kg,22%,U$S,7.10,35.50
K189,Adobo 1 kg,,12 unid.,22%,U$S,7.50,90.00
259,Ají Molido 20 kg,,20 kg,22%,U$S,7.71,154.20
B259,Ají Molido 5 kg,,5 kg,22%,U$S,8.87,44.35
144,Ajo Blanco Granulado 25 kg,,25 kg,22%,U$S,5.20,130.00
K144,Ajo Blanco Granulado 1 kg,,12 unid.,22%,U$S,6.25,75.00
K1441,Ajo en Polvo 1 kg,,12 unid.,22%,U$S,5.00,60.00
B245,Ajo y Perejil 5 kg,,5 kg,22%,U$S,7.00,35.00
K245,Ajo y Perejil 1 kg,,12 unid.,22%,U$S,8.40,100.80
036,Anís en Grano 25 kg,,25 kg,EXE,U$S,13.18,329.40
K036,Anís en Grano 1 kg,,12 unid.,EXE,U$S,15.81,189.72
0361,Anís Estrellado 10 kg,,10 kg,EXE,U$S,22.50,225.00
K0361,Anís Estrellado 1 kg,,10 unid.,EXE,U$S,23.50,235.00
0051,Clavo de Olor 25 kg,,25 kg,EXE,U$S,17.00,425.00
B005,Clavo de Olor 5 kg,,5 kg,EXE,U$S,19.55,97.75
K0051,Clavo de Olor 1 kg,,12 unid.,EXE,U$S,20.40,244.80
K040,Jengibre en Polvo 1 kg,,12 unid.,22%,U$S,10.25,123.00
307,Canela Entera 10 kg,,10 kg,EXE,U$S,18.20,182.00
K307,Canela Entera 1 kg,,12 unid.,EXE,U$S,21.84,262.08
309,Canela Cigarrete 10 kg,,10 kg,EXE,U$S,18.20,182.00
K309,Canela Cigarrete 1 kg,,1 kg,EXE,U$S,21.84,21.84
B310,Canela Molida 5 kg,,5 kg,22%,U$S,12.30,61.50
K311,Canela Molida 1 kg,,12 unid.,22%,U$S,14.76,177.12
K039,Comino en Grano 1 kg,,12 unid.,EXE,U$S,7.52,90.24
K0391,Comino en Polvo 1 kg,,12 unid.,22%,U$S,9.88,118.56
042,Tomillo Seco 20 kg,,20 kg,EXE,U$S,6.20,124.00
K042,Tomillo Seco 1 kg,,12 unid.,EXE,U$S,7.13,85.56
K0370,Condimento Verde 1 kg,,12 unid.,22%,U$S,11.10,133.20
K038,Cúrcuma 1 kg,,12 unid.,22%,U$S,7.94,95.28
K0392,Curry 1 kg,,12 unid.,22%,U$S,12.75,153.00
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,"100,102 • Especias (Continuación)",,,,,,
,,,,,,,
0371,Espinaca en Polvo 20 kg,,20 kg,22%,U$S,9.64,192.80
K0371,Espinaca en Polvo 1 kg,,12 unid.,22%,U$S,11.57,138.84
043,Hongos Secos 20 kg,,15 kg,22%,U$S,12.50,250.00
C043,Hongos Secos 500 g,,12 unid.,22%,U$S,7.20,86.40
,,,,,,,
K0380,Semilla de Mostaza 1 kg,,12 unid.,22%,U$S,6.85,82.20
K0381,Mostaza en Polvo 1 kg,,12 unid.,22%,U$S,10.25,123.00
,,,,,,,
306,Nuez Moscada Entera ABCD 25 kg,,25 kg,22%,U$S,27.67,691.75
B306,Nuez Moscada Entera ABCD 5 kg,,5 kg,22%,U$S,31.82,159.10
K306,Nuez Moscada Entera ABCD 1 kg,,12 unid.,22%,U$S,33.20,398.40
B305,Nuez Moscada Molida 5 kg,,5 kg,22%,U$S,22.00,110.00
K305,Nuez Moscada Molida 1 kg,,12 unid.,22%,U$S,24.20,290.40
304,Nuez Moscada Rota BWP 25 kg,,25 kg,22%,U$S,0.00,0.00
,,,,,,,
130,"Orégano 1° Calidad 12,5 kg",,"12,5 kg",EXE,U$S,3.70,46.25
K130,Orégano 1° Calidad 1 kg,,12 unid.,EXE,U$S,4.25,51.00
3150,Perejil 20 kg,,20 kg,22%,U$S,6.20,124.00
3151,Perejil 9 kg,,9 kg,22%,U$S,0.00,0.00
,,,,,,,
096,Pimentón Choice 25 kg,,25 kg,22%,U$S,6.80,170.00
097,Pimentón Delicia 25 kg,,25 kg,22%,U$S,5.43,135.75
B097,Pimentón Delicia 5 kg,,5 kg,22%,U$S,6.24,31.20
K097,Pimentón Delicia 1 kg,,12 unid.,22%,U$S,6.52,78.24
,,,,,,,
100,Pimienta Blanca en Grano 25 kg,,25 kg,22%,U$S,12.60,315.00
B100,Pimienta Blanca en Grano 5 kg,,5 kg,22%,U$S,14.50,72.50
C100,Pimienta Blanca en Grano 500 g,,12 unid.,22%,U$S,7.60,91.20
B134,Pimienta Blanca Molida 5 kg,,5 kg,22%,U$S,15.80,79.00
C134,Pimienta Blanca Molida 500 g,,12 unid.,22%,U$S,8.30,99.60
1011,Pimienta Negra en Grano 25 kg,,25 kg,EXE,U$S,7.15,178.75
B101,Pimienta Negra en Grano 5 kg,,5 kg,EXE,U$S,8.20,41.00
C101,Pimienta Negra en Grano 500 g,,12 unid.,EXE,U$S,4.30,51.60
B135,Pimienta Negra Molida 5 kg,,5 kg,22%,U$S,9.00,45.00
C135,Pimienta Negra Molida 500 g,,12 unid.,22%,U$S,4.72,56.64
,,,,,,,
,Miel,,,,,,
230,Miel Cosecha Dorada 1 kg,7730905132171,Unitario,EXE,$,262.00,262.00
