,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cod.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
Precios finales con IVA incluído. Suejta a modificaciones y a disponibilidad de stock.,,,,Fecha de actualización:,,,7/1/2024
,"100,100 • Legumbres y Otros",,,,,,
,,,,,,,
3240,"Anillos con Avena y Miel 4 unid. de 2,5 kg",7797599321689,10 kg,22%,U$S,3.70,37.00
3250,"Almohaditas de Chocolate 4 unid. de 2,5 kg",7797599231641,10 kg,22%,U$S,5.15,51.50
3260,"Almohaditas de Frutilla 4 unid. de 2,5 kg",7797599231658,10 kg,22%,U$S,5.15,51.50
3270,"Almohaditas de Limón 4 unid. de 2,5 kg",7797599231634,10 kg,22%,U$S,5.15,51.50
,,,,,,,
,"100,200 • Snacks y Galletas",,,,,,
,,,,,,,
K781,Maní Tostado Salado Cosecha Dorada 1kg,7790905131822,12 unid.,22%,U$S,4.10,49.20
K783,Maní Tostado sin Sal Cosecha Dorada 1kg,7790905131839,12 unid.,22%,U$S,4.10,49.20
,,,,,,,
1320,Papas Bastones Sabor Original Ringo 90 g,6917554959873,12 unid.,22%,U$S,1.34,16.08
1321,Papas Bastones Sabor Crema y Cebolla Ringo 90 g,6917554626566,12 unid.,22%,U$S,1.34,16.08
1322,Papas Bastones Sabor Barbacoa Ringo 90 g,6917554959859,12 unid.,22%,U$S,1.34,16.08
1323,Papas Bastones Sabor Queso Ringo 90 g,6917554959880,12 unid.,22%,U$S,1.34,16.08
,,,,,,,
1324,Papas Sabor Original Ringo 120 g,6917554108899,12 unid.,22%,U$S,1.54,18.48
1325,Papas Sabor Crema y Cebolla Ringo 120 g,6917554108905,12 unid.,22%,U$S,1.54,18.48
1327,Papas Sabor Barbacoa Ringo 120 g,6917554119437,12 unid.,22%,U$S,1.54,18.48
,,,,,,,
3900,Galleta Agua y Sal x3 • 350 g Estrela,7896264670843,24 unid.,22%,U$S,0.88,21.12
3901,Galleta Cream Cracker x3 • 350 g Estrela,7896264670577,24 unid.,22%,U$S,0.88,21.12
3910,Galleta María Tradicional x3 • 350 g Estrela,7896264670836,24 unid.,22%,U$S,0.88,21.12
3911,Galleta Maizena Tradicional x3 • 350 g Estrela,7896264670959,24 unid.,22%,U$S,0.94,22.56
,,,,,,,
3913,Galleta Rellena Sabor Frutilla 120 g Estrela,7896264670171,30 unid.,22%,U$S,0.39,11.70
3914,Galleta Rellena Sabor Chocolate 120 g Estrela,7896264670164,30 unid.,22%,U$S,0.39,11.70
,,,,,,,
3926,Waffle de Chocolate 100 g Estrela,7896264670133,40 unid.,22%,U$S,0.35,14.00
3927,Waffle de Frutilla 100 g Estrela,7896264670140,40 unid.,22%,U$S,0.35,14.00
3925,Waffle de Limón 100 g Estrela,7896264670157,40 unid.,22%,U$S,0.35,14.00
,,,,,,,
,,,,,,,
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,"100,202 • Fraccionados Cosecha Dorada • Nueva Línea DoyPack",,,,,,
,,,,,,,
E189,Adobo Cosecha Dorada 25 g,7730905131228,30 unid.,22%,U$S,0.34,10.20
E245,Ajo y Perejil Cosecha Dorada 25 g,7730905131204,30 unid.,22%,U$S,0.34,10.20
E130,Orégano Cosecha Dorada 15 g,7730905131198,30 unid.,EXE,U$S,0.23,6.90
E097,Pimentón Cosecha Dorada 25 g,7730905131211,30 unid.,22%,U$S,0.29,8.70
E144,Ajo Granulado Cosecha Dorada 30 g,7730905133109,30 unid.,22%,U$S,0.34,10.20
E259,Ají Molido Cosecha Dorada 20 g,7730905133093,30 unid.,22%,U$S,0.34,10.20
E100,Pimienta Blanca en Grano Cosecha Dorada 30 g,7730905133116,30 unid.,22%,U$S,0.45,13.50
E101,Pimienta Negra en Grano Cosecha Dorada 30 g,7730905133123,30 unid.,EXE,U$S,0.42,12.60
,,,,,,,
D144,Ajo Granulado Cosecha Dorada 250 g,7730905132690,12 unid.,22%,U$S,1.66,19.92
D189,Adobo Cosecha Dorada 250 g,7730905132065,12 unid.,22%,U$S,2.10,25.20
D245,Ajo y Perejil Cosecha Dorada 250 g,7730905132072,12 unid.,22%,U$S,2.00,24.00
D130,Orégano Cosecha Dorada 250 g,7730905132089,12 unid.,EXE,U$S,1.95,23.40
D097,Pimentón Cosecha Dorada 250 g,7730905132096,12 unid.,22%,U$S,1.66,19.92
,,,,,,,
E046,Azúcar Impalpable Cosecha Dorada 200 g,7730905130672,30 unid.,22%,U$S,0.00,0.00
E076,Fécula de Maíz Cosecha Dorada 200 g,7730905130689,30 unid.,22%,U$S,0.39,11.58
,,,,,,,
E182,Puré de Papas Cosecha Dorada 125 g,7730905131365,30 unid.,22%,U$S,0.95,28.50
,,,,,,,
D019,Almendras Peladas Doypack CD 100 g,7730905132706,12 unid.,22%,U$S,1.45,17.41
D207,Nueces Peladas DoyPack CD 80 g,7730905132713,12 unid.,22%,U$S,1.40,16.81
D224,Castañas de Cajú Tostadas c/Sal DoyPack 100 g,7730905132836,12 unid.,22%,U$S,1.87,22.45
D225,Castañas de Cajú Tostadas s/Sal DoyPack 100 g,7730905132720,12 unid.,22%,U$S,1.87,22.45
D781,Maní Tostado Salado con Sal DoyPack CD 100 g,7730905132737,12 unid.,22%,U$S,0.60,7.20
D783,Maní Tostado Salado sin Sal DoyPack CD 100 g,7730905132744,12 unid.,22%,U$S,0.60,7.20
D1010,Pasas de Uva DoyPack CD 100 g,7730905132751,12 unid.,22%,U$S,0.50,6.00
D198,Ciruelas sin Carozo DoyPack CD 100 g,7730905132768,12 unid.,22%,U$S,1.19,14.27
,,,,,,,
D001,Mix Castañas/Almendras/Maní DoyPack CD 100 g,7730905132775,12 unid.,22%,U$S,1.28,15.36
D002,Mix Nueces/Almendras/Pasas DoyPack CD 100 g,7730905132782,12 unid.,22%,U$S,1.15,13.81
,,,,,,,
D784,Garrapiñada DoyPack CD 100 g,7730905132799,12 unid.,22%,U$S,0.60,7.20
D601,Maní con Chocolate DoyPack CD 100 g,7730905132867,12 unid.,22%,U$S,0.97,11.64
D602,Lentejas de Chocolate DoyPack CD 100 g,7730905132843,12 unid.,22%,U$S,1.09,13.08
,,,,,,,
D313,Semilla de Chía DoyPack CD 100 g,7730905132805,12 unid.,EXE,U$S,0.78,9.35
D312,Quinoa Blanca DoyPack CD 100 g,7730905132812,12 unid.,EXE,U$S,0.52,6.19
D286,Girasol Confitero DoyPack CD 100 g,7730905132829,12 unid.,22%,U$S,0.48,5.76
,,,,,,,
D288,Lentejón DoyPack CD 400 g,7730905130900,18 unid.,22%,U$S,1.82,32.76
D191,Poroto Manteca DoyPack CD 500 g,7730905130870,18 unid.,22%,U$S,1.90,34.20
D149,Poroto Negro DoyPack CD 500 g,7730905131136,18 unid.,22%,U$S,1.25,22.51
D110,Poroto Frutilla DoyPack CD 500 g,7730905131129,18 unid.,22%,U$S,1.65,29.70
D282,Garbanzos DoyPack CD 400 g,7730905130887,18 unid.,22%,U$S,1.16,20.88
D089,Maíz Pisingallo DoyPack CD 500 g,7730905130733,18 unid.,22%,U$S,0.94,16.92
D1190,Avena Laminada DoyPack CD 250 g,7730905132850,18 unid.,22%,U$S,0.71,12.79
D041,Coco Rallado DoyPack CD 200 g,7730905130702,18 unid.,22%,U$S,1.40,25.22
,,,,,,,
580,Té Ceylan 6x100 Saquitos de 2 g CD,7730905132232,6 unid.,10%,U$S,7.50,45.00
585,Té Ceylan 12x50 Saquitos de 2 g CD,7730905132225,12 unid.,10%,U$S,2.34,28.05
582,Té Ceylan 24x25 Saquitos de 2 g CD,7730905132218,24 unid.,10%,U$S,1.40,33.66
581,Té Ceylan 48x10 Saquitos de 2 g CD,7730905132201,48 unid.,10%,U$S,0.82,39.35
588,Té Ceylan Verde 12x50 Saquitos de 2 g CD,7730905132317,12 unid.,10%,U$S,2.52,30.28
587,Té Ceylan Verde 24x25 Saquitos de 2 g CD,7730905132300,24 unid.,10%,U$S,1.51,36.24
586,Té Ceylan Verde 48x10 Saquitos de 2 g CD,7730905132294,48 unid.,10%,U$S,0.90,43.00
591,Té Ceylan con Limón 12x50 Saquitos de 2 g CD,7730905132348,12 unid.,10%,U$S,2.87,34.49
590,Té Ceylan con Limón 24x25 Saquitos de 2 g CD,7730905132331,24 unid.,10%,U$S,1.63,39.02
589,Té Ceylan con Limón 48x10 Saquitos de 2 g CD,7730905132331,48 unid.,10%,U$S,0.97,46.55
,,,,,,,
E115,Gofio Pajarito 1 kg,7730914720017,10 unid.,22%,$,132.00,1320.00
E1151,Gofio Pajarito 500 g,7730914720031,20 unid.,22%,$,78.00,1560.00
E1152,Gofio Pajarito 250 g ,7730914720079,24 unid.,22%,$,44.20,1060.80
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,Fideos de Sémola de Trigo Candeal • Bonavita,,,,,,
,,,,,,,
807,Caracoles 500 g Bonavita,7798031150391,15 unid.,10%,U$S,0.75,11.25
802,Coditos 500 g Bonavita,7798031150872,15 unid.,10%,U$S,0.75,11.25
806,Mostachol Rayado 500 g Bonavita,7798031150384,15 unid.,10%,U$S,0.75,11.25
803,Moños 500 g Bonavita,7798031150117,15 unid.,10%,U$S,0.75,11.25
801,Rigatti 500 g Bonavita,7798031150094,15 unid.,10%,U$S,0.75,11.25
804,Spaghetti 500 g Bonavita,7798031150049,20 unid.,10%,U$S,0.75,15.00
805,Tallarines 500 g Bonavita,7798031150063,20 unid.,10%,U$S,0.75,15.00
800,Tirabuzón 500 g Bonavita,7798031150070,15 unid.,10%,U$S,0.75,11.25
,,,,,,,
,Pastas Sol Pampeano • NUEVO,,,,,,
,,,,,,,
820,Tirabuzón 400 g Sol Pampeano,7798031155495,15 unid.,10%,U$S,0.52,7.82
824,Spaghetti 400 g Sol Pampeano,7798031155471,20 unid.,10%,U$S,0.52,10.42
826,Mostachol 400 g Sol Pampeano,7798031155518,15 unid.,10%,U$S,0.52,7.82
,,,,,,,
,Pastas Línea Natural Sin Gluten - Vegana - KOSHER • Cosecha Dorada • NUEVO,,,,,,
,,,,,,,
8100,Fusilli de Maíz Amarillo 250 g,7730905132997,12 unid.,10%,U$S,1.60,19.20
8101,Spaghetti de Maíz Amarillo 250 g,7730905132980,12 unid.,10%,U$S,1.80,21.60
8120,Mini Fusilli de Arroz Integral 250 g,7730905133017,12 unid.,10%,U$S,1.70,20.40
8121,Spaghetti de Arroz Integral 250 g,7730905133000,12 unid.,10%,U$S,1.90,22.80
8130,Fusilli de Quinoa Real 250 g,7730905133031,12 unid.,10%,U$S,2.10,25.20
8131,Spaghetti de Quinoa Real 250 g,7930905133024,12 unid.,10%,U$S,2.30,27.60
8140,Fusilli de Chía 250 g,7730905133055,12 unid.,10%,U$S,2.10,25.20
8141,Spaghetti de Chía 250 g,7730905133048,12 unid.,10%,U$S,2.30,27.60
8150,Coditos de Lentejas 250 g,7730905133062,12 unid.,10%,U$S,3.10,37.20
8160,Sedanini de Arvejas 250 g,7730905133079,12 unid.,10%,U$S,2.90,34.80
,,,,,,,
,"100,203 • Encurtidos Cosecha Dorada",,,,,,
,,,,,,,
380,Ajíes Catalanes 350 g Cosecha Dorada,7730905131891,6 unid.,22%,$,100.00,600.00
381,Ajíes Catalanes 580 g Cosecha Dorada,7730905131945,6 unid.,22%,$,150.00,900.00
382,Pickles 350 g Cosecha Dorada,7730905131884,6 unid.,22%,$,100.00,600.00
383,Pickles 660 g Cosecha Dorada,7730905131938,6 unid.,22%,$,150.00,900.00
384,Morrones en Vinagre 350 g Cosecha Dorada,7730905131877,6 unid.,22%,$,115.00,690.00
385,Morrones en Vinagre 660 g Cosecha Dorada,7730905131921,6 unid.,22%,$,170.00,1020.00
386,Hongos en Escabeche 350 g Cosecha Dorada,7730905131860,6 unid.,22%,$,115.00,690.00
387,Hongos en Escabeche 660 g Cosecha Dorada,7730905131914,6 unid.,22%,$,170.00,1020.00
388,Hongos en Vinagre 350 g Cosecha Dorada,7730905131853,6 unid.,22%,$,115.00,690.00
389,Hongos en Vinagre 660 g Cosecha Dorada,7730905131907,6 unid.,22%,$,170.00,1020.00
,,,,,,,
,Bebidas Alcohólicas: Samba • Burguesa • Moinho Real • Smith 44 • Vinos Campero,,,,,,
,,,,,,,
,Samba,,,,,,
7913,Cerveza Samba Lata 350 ml,7898295301130,12 Latas,22%,U$S,0.68,8.16
7914,Cerveza Samba Lata 473 ml,7898295300201,12 Latas,22%,U$S,0.85,10.20
7916,Cerveza Samba Botella 600 ml,7898295300614,6 Bot.,22%,U$S,1.35,8.10
,,,,,,,
,Burguesa,,,,,,
7924,Cerveza Burguesa Lata 473 ml,7898295301505,12 Latas,22%,U$S,0.97,11.64
,,,,,,,
,Moinho Real,,,,,,
7934,Cerveza Moinho Real Lata 473 ml,7898295303530,12 Latas,22%,U$S,1.00,12.00
7936,Cerveza Moinho Real Botella 600 ml,7898295303264,6 Bot.,22%,U$S,1.47,8.82
,,,,,,,
,Smith 44,,,,,,
7941,Cerveza Smith 44 Botella 330 ml,7898295303769,24 Bot.,22%,U$S,0.96,23.04
7944,Cerveza Smith 44 Lata 473 ml,7898295305152,6 Latas,22%,U$S,1.18,7.08
7946,Cerveza Smith 44 Botella x 600 ml,7898295305169,6 Bot.,22%,U$S,1.64,9.84
,,,,,,,
,Conti Malzbier,,,,,,
7964,Cerveza Negra Conti Malzbier Lata 473 ml,7898295301574,12 Latas,22%,U$S,1.00,12.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,1/29/2024
,Conserva de Frutas • Cosecha Dorada / Campero,,,,,,
,,,,,,,
3020,Durazno en Almíbar Cosecha Dorada 3 kg,7730905130290,6 unid.,22%,U$S,0.00,0.00
0020,Durazno en Almíbar Cosecha Dorada 820 g,7730905130306,12 unid.,22%,U$S,1.80,21.60
297,Durazno en Almíbar sin Azúcar CD 800 g,7730905131662,12 unid.,22%,U$S,2.25,27.00
296,Durazno en Almíbar Campero 800 g,7730905130313,12 unid.,22%,U$S,1.75,21.00
,,,,,,,
3012,Ananá en Almíbar Cosecha Dorada 3 kg,7730905130382,6 unid.,22%,U$S,7.05,42.30
290,Ananá en Almíbar Cosecha Dorada 820 g,7730905130375,12 unid.,22%,U$S,2.08,25.00
289,Ananá en Almíbar sin Azúcar CD 820 g,7730905131778,12 unid.,22%,U$S,2.25,27.00
291,Ananá en Almíbar Campero 850 g,7730905130368,12 unid.,22%,U$S,2.04,24.50
,,,,,,,
277,Coctail de Frutas Cosecha Dorada 820 g,7730905130320,12 unid.,22%,U$S,2.90,34.81
273,Coctail de Frutas sin Azúcar CD 800 g,7730905131495,12 unid.,22%,U$S,2.90,34.81
,,,,,,,
278,Peras en Almíbar Cosecha Dorada 820 g,7730905130337,12 unid.,22%,U$S,2.35,28.20
284,Peras en Almíbar sin Azúcar CD 800 g,7730905131402,12 unid.,22%,U$S,2.35,28.20
1941,Higos en Almíbar Cosecha Dorada 790 g,7730905130344,12 unid.,22%,U$S,2.76,33.12
126,Zapallo en Almíbar Cosecha Dorada 830 g,7730905130351,12 unid.,22%,U$S,2.68,32.16
295,Arándanos en Almíbar Cosecha Dorada 520 g,7730905132645,12 unid.,22%,U$S,2.40,28.80
275,Frutillas en Almíbar Cosecha Dorada 850 g,7730905131372,12 unid.,22%,U$S,3.46,41.52
294,Frutillas en Almíbar Cosecha Dorada 520 g,7730905131648,12 unid.,22%,U$S,2.40,28.80
,,,,,,,
262,Cerezas Rojas al Marrasquino Frasco 190 g,7730905131280,12 unid.,22%,U$S,2.90,34.80
U261,"Cerezas Rojas al Marrasquino 3,1 kg",7730905130405,Unitario,22%,U$S,17.13,17.13
U268,"Cerezas Verdes al Marrasquino 3,1 kg",7730905131105,Unitario,22%,U$S,17.13,17.13
263,Cerezas Confitadas 8 kg,7730905131112,8 kg,22%,U$S,10.00,80.00
,,,,,,,
,"100,301 • Conservas de Vegetales Cosecha Dorada / Campero",,,,,,
,,,,,,,
219,Arvejas Campero 300 g,7730905130047,24 unid.,22%,U$S,0.44,10.44
008,"Arvejas Cosecha Dorada 2,5 kg",7730905131600,6 unid.,22%,U$S,4.40,26.40
165,Arvejas Cosecha Dorada 800 g,7730905131594,12 unid.,22%,U$S,1.37,16.44
011,Arvejas Cosecha Dorada Abre Fácil 400 g,7730905131587,24 unid.,22%,U$S,0.60,14.40
010,Arvejas Cosecha Dorada Abre Fácil 300 g,7730905130016,24 unid.,22%,U$S,0.50,12.00
213,Arvejas y Maíz Cosecha Dorada 300 g,7730905131235,24 unid.,22%,U$S,0.61,14.64
210,Zanahoria y Arvejas Cosecha Dorada 300 g,7730905131334,24 unid.,22%,U$S,0.61,14.64
,,,,,,,
2142,Champignon Entero Cosecha Dorada 184 g,7730905131433,24 unid.,22%,U$S,1.01,24.24
2140,Champignon Entero Cosecha Dorada 400 g,7730905130245,24 unid.,22%,U$S,1.56,37.44
215,"Champignon Entero Cosecha Dorada 2,84 kg",7730905130269,6 unid.,22%,U$S,10.41,62.46
2143,Champignon Laminado Cosecha Dorada 184 g,7730905131440,24 unid.,22%,U$S,0.66,15.84
2141,Champignon Laminado Cosecha Dorada 400 g,7730905130238,24 unid.,22%,U$S,1.13,27.12
216,"Champignon Laminado Cosecha Dorada 2,84 kg",7730905130252,6 unid.,22%,U$S,5.60,33.60
,,,,,,,
018,Crema de Choclo Cosecha Dorada 400 g,7730905131617,24 unid.,22%,U$S,1.34,32.16
185,Espárragos Enteros Cosecha Dorada 800 g,7730905130139,12 unid.,22%,U$S,3.40,40.80
,,,,,,,
2090,Jardinera de Hortalizas y Legumbres CD 300 g,7730905131341,24 unid.,22%,U$S,0.61,14.64
211,Jardinera de Legumbes CD 300 g,7730905131297,24 unid.,22%,U$S,0.61,14.64
,,,,,,,
161,"Maíz en Grano Cosecha Dorada 2,6 kg",7730905130092,6 unid.,22%,U$S,6.40,38.41
025,Maíz en Grano Cosecha Dorada 800 g,7730905130078,12 unid.,22%,U$S,1.95,23.40
023,Maíz en Grano Cosecha Dorada 300 g,7730905130085,24 unid.,22%,U$S,0.68,16.32
332,"Morrones Enteros Cosecha Dorada 2,5 kg",7730905131082,6 unid.,22%,U$S,7.70,46.20
333,Morrones Enteros Cosecha Dorada 793 g,7730905131426,12 unid.,22%,U$S,3.00,36.00
,,,,,,,
260,Poroto Alubia Cosecha Dorada 300 g,7730905131549,24 unid.,22%,U$S,0.70,16.80
265,Poroto Colorado Cosecha Dorada 300 g,7730905133086,24 unid.,22%,U$S,0.64,15.36
258,Poroto Frutilla Cosecha Dorada 400 g,7730905131525,24 unid.,22%,U$S,0.73,17.52
264,Poroto Manteca Cosecha Dorada 400 g,7730905131532,24 unid.,22%,U$S,0.85,20.40
249,Poroto Negro Cosecha Dorada 400 g,7730905131563,24 unid.,22%,U$S,0.73,17.52
267,Garbanzos Cosecha Dorada 400 g,7730905130160,24 unid.,22%,U$S,0.73,17.52
271,Lentejas Cosecha Dorada 400 g,7730905131457,24 unid.,22%,U$S,0.73,17.52
, ,,,,,,
2092,Box de Tomate Campero 900 g,7730905130276,12 unid.,22%,U$S,0.80,9.60
2097,Pulpa Tamizada Campero 1 kg,7730905131983,12 unid.,22%,U$S,1.06,12.72
2098,Pulpa de Tomate Concentrada CD 1 kg,7730905131952,12 unid.,22%,U$S,1.37,16.44
2094,Puré de Tomate Cosecha Dorada Botella 680 g,7730905132003,12 unid.,22%,U$S,1.83,21.96
,,,,,,,
,,,,,,,
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,1/29/2024
,"100,301 • Conservas de Vegetales Cosecha Dorada / Campero (Continuación)",,,,,,
,,,,,,,
2096,Salsa de Tomate Señor Tomate 1 kg,7730905133215,12 unid.,22%,U$S,0.78,9.36
2093,Salsa Pizzera 3 kg,7730493091652,Unitario,22%,U$S,3.84,3.84
,,,,,,,
027,"Tomate Perita Pelado Cosecha Dorada 2,55 kg",7730905130115,6 unid.,22%,U$S,5.50,33.00
029,Tomate Perita Pelado Cosecha Dorada 400 g,7730905130108,24 unid.,22%,U$S,0.90,21.60
031,"Tomate en Cubos Cosecha Dorada 2,55 kg",7730905130122,6 unid.,22%,U$S,5.50,33.00
034,Tomate en Cubos Cosecha Dorada 400 g,7730905131556,24 unid.,22%,U$S,0.90,21.60
,,,,,,,
,"100,302 • Palmitos Cosecha Dorada / Campero",,,,,,
,,,,,,,
057,Palmitos Enteros Campero 400 g,7730905130191,24 unid.,22%,U$S,2.10,50.40
154,Palmitos Enteros Campero 800 g,7730905130184,12 unid.,22%,U$S,4.05,48.60
256,Palmitos en Rodajas Campero 400 g,7730905131488,24 unid.,22%,U$S,1.61,38.64
255,Palmitos en Rodajas Campero 800 g,7730905131181,12 unid.,22%,U$S,3.09,37.08
,,,,,,,
150,Palmitos Enteros Cosecha Dorada 400 g,7730905130221,24 unid.,22%,U$S,2.13,51.12
151,Palmitos Enteros Cosecha Dorada 800 g,7730905130214,12 unid.,22%,U$S,4.12,49.44
253,Palmitos en Rodajas Cosecha Dorada 400 g,7730905132041,24 unid.,22%,U$S,1.65,39.60
254,Palmitos en Rodajas Cosecha Dorada 800 g,7730905132034,12 unid.,22%,U$S,3.16,37.92
,,,,,,,
,"100,303 • Conserva de Pescados Golden Fish / Marinera / Marbella",,,,,,
,,,,,,,
2801,Anchoas en Aceite Marbella 90 g,7792750000937,24 unid.,22%,U$S,3.80,91.20
2802,Anchoas en Aceite Marbella 1 kg,7792750001255,6 unid.,22%,U$S,27.00,162.00
,,,,,,,
360,Atún Desmenuzado en Aceite Golden Fish 170 g,7730905131266,48 unid.,22%,U$S,0.85,40.80
359,Atún Desmenuzado al Natural Golden Fish 170 g,7730905131259,48 unid.,22%,U$S,0.81,38.88
355,Atún Trozos en Aceite Golden Fish 170 g,7730905131051,48 unid.,22%,U$S,1.37,65.76
356,Atún Trozos al Natural Golden Fish 170 g,7730905131068,48 unid.,22%,U$S,1.32,63.36
3680,Atún Trozos en Aceite Pouch Golden Fish 500 g,7730905132256,16 unid.,22%,U$S,4.65,74.40
354,Atún Trozos al Natural Pouch Golden Fish 500 g,7730905132461,16 unid.,22%,U$S,4.20,67.20
003,Atún Trozos en Aceite Golden Fish 900 g,7730905131327,12 unid.,22%,U$S,7.20,86.40
0031,Atún Trozos al Natural Golden Fish 900 g,7730905132140,12 unid.,22%,U$S,7.00,84.00
3681,Atún Trozos en Aceite Pouch Golden Fish 1 kg,7730905132249,16 unid.,22%,U$S,8.65,138.40
3650,"Atún Trozos en Aceite Golden Fish 1,8 kg",7730905131389,6 unid.,22%,U$S,13.00,78.00
3651,"Atún Trozos al Natural Golden Fish 1,8 kg",7730905132164,6 unid.,22%,U$S,13.00,78.00
363,Atún Lomos en Aceite Tripack Golden Fish 3x 80 g,7730905131679,20 unid.,22%,U$S,3.00,60.00
364,Atún Lomos al Natural Tripack Golden Fish 3x 80 g,7730905131686,20 unid.,22%,U$S,2.90,58.00
372,Atún Lomos en Aceite Golden Fish 170 g,7730905132126,48 unid.,22%,U$S,1.39,66.72
373,Atún Lomos al Natural Golden Fish 170 g,7730905132119,48 unid.,22%,U$S,1.34,64.32
369,Atún Lomos en Aceite Golden Fish 350 g,7730905131693,24 unid.,22%,U$S,3.43,82.32
370,Atún Lomos al Natural Golden Fish 350 g,7730905131709,24 unid.,22%,U$S,3.30,79.20
,,,,,,,
0870,Grated de Sardinas Marinera 170 g,7730905131273,48 unid.,22%,U$S,0.68,32.64
030,Grated de Sardinas Marinera 425 g,7730905130412,24 unid.,22%,U$S,1.36,32.64
0321,Sardinas Enteras en Aceite Golden Fish 125 g,7730905131150,50 unid.,22%,U$S,0.74,37.00
357,Sardinas Enteras en Aceite Oval GF 425 g,7730905131143,24 unid.,22%,U$S,1.90,45.60
358,Sardinas Enteras al Natural Golden Fish 425 g,7730905131167,24 unid.,22%,U$S,1.75,42.00
0331,Sardinas Enteras en Tomate Golden Fish 425 g,7730905131655,24 unid.,22%,U$S,1.75,42.00
,,,,,,,
,"100,304 • Conserva de Carnes Cosecha Dorada",,,,,,
,,,,,,,
124,Corned Beef Cosecha Dorada 340 g,7730905130504,24 unid.,22%,U$S,2.80,67.20
1041,Paté de Carne Cosecha Dorada 100 g,7730905130535,24 unid.,22%,U$S,0.65,15.60
1071,Paté de Jamón Cosecha Dorada 100 g,7730905130556,24 unid.,22%,U$S,0.65,15.60
1031,Paté de Lengua Cosecha Dorada 100 g,7730905130528,24 unid.,22%,U$S,0.65,15.60
1051,Paté de Pollo Cosecha Dorada 100 g,7730905130542,24 unid.,22%,U$S,0.65,15.60
123,Salchicha Tipo Viena Cosecha Dorada 180 g,7730905130511,24 unid.,22%,U$S,1.24,29.76
,,,,,,,
,"100,400 • Aceitunas Cosecha Dorada",,,,,,
,,,,,,,
083,Aceitunas en Rodajas Cosecha Dorada 1 kg,,Unitario,22%,U$S,4.85,4.85
1872,Aceitunas con Carozo Cosecha Dorada 1 kg,,Unitario,22%,U$S,4.05,4.05
192,Aceitunas sin Carozo Cosecha Dorada 1 kg,,Unitario,22%,U$S,5.00,5.00
063,Aceitunas Rotas Cosecha Dorada 1 kg,,Unitario,22%,U$S,2.90,2.90
1601,Aceitunas Negras sin Carozo CD 1 kg,,Unitario,22%,U$S,6.80,6.80
,,,,,,,
0660,Aceitunas sin Carozo Doypack CD 200 g,7730905130924,24 unid.,22%,U$S,0.81,19.44
0661,Aceitunas con Carozo Doypack CD 200 g,7730905130917,24 unid.,22%,U$S,0.62,14.76
0662,Aceitunas en Rodajas Doypack CD 200 g,7730905133161,24 unid.,22%,U$S,0.74,17.76
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,"100,401 • Aceites y Vinagres Cosecha Dorada",,,,,,
,,,,,,,
0505,Aceite de Oliva Extra Virgen 250 ml • Vidrio,7730905131785,12 unid.,10%,U$S,3.92,47.04
0502,Aceite de Oliva Extra Virgen 500 ml • Vidrio,7730905131792,12 unid.,10%,U$S,6.80,81.60
0503,Aceite de Oliva Virgen 3L • Bidón,7730973440932,4 unid ,10%,U$S,40.00,160.00
0504,Aceite de Oliva Extra Virgen 5 L • Bidón,7730905131815,4 unid.,10%,U$S,54.30,217.18
,,,,,,,
0527,Vinagre de Alcohol Cosecha Dorada 750 ml,7730905132881,12 unid.,22%,U$S,0.45,5.40
0525,"Vinagre de Alcohol Cosecha Dorada 4,9 L",7730905132898,2 unid.,22%,U$S,2.60,5.20
0537,Vinagre de Manzana Cosecha Dorada 750 ml,7730905132904,12 unid.,22%,U$S,0.54,6.48
0535,"Vinagre de Manzana Cosecha Dorada 4,9 L",7730905132911,2 unid.,22%,U$S,3.26,6.52
,,,,,,,
,"100,601 • Salsas y Aderezos",,,,,,
,,,,,,,
0421,Salsa de Soja 1 L,,12 unid.,22%,$,210.00,2520.00
,,,,,,,
,"100,500 • Artículos de Limpieza • Limpiamás+",,,,,,
,,,,,,,
431,Cepillo con Alza Limpiamás,7896230981386,12 unid.,22%,U$S,0.65,7.80
408,Cepillo Lavajeans Limpiamás,7898650900442,12 unid.,22%,U$S,0.55,6.60
4151,Cepillo de Baño Limpiamás,7896230981067,12 unid.,22%,U$S,1.60,19.20
